# x,y,vel_x,vel_y,speed
78.384616,73.484385,-1.743964,0.979075,2.000000
78.593925,73.389180,1.568622,-1.240735,2.000000
39.881358,63.823701,1.938307,0.492914,2.000000
39.727974,63.722348,-1.596278,-1.204947,2.000000
77.599388,30.140317,0.081563,-1.998336,2.000000
27.859927,21.900872,-1.917357,-0.568984,2.000000
78.488599,73.336108,-0.681595,-1.880274,2.000000
78.378339,73.388652,-1.869778,-0.709880,2.000000
27.866051,21.938018,1.962017,0.387930,2.000000
78.428317,73.360043,-1.556494,-1.255917,2.000000
78.550545,73.410401,0.458091,1.946831,2.000000
78.586332,73.338507,1.613320,1.182031,2.000000
78.657131,73.320736,1.813779,-0.842738,2.000000
39.850183,63.748466,-0.089431,-1.998000,2.000000
78.381287,73.317966,-1.856762,-0.743260,2.000000
77.582028,30.201082,-1.742717,-0.981294,2.000000
27.831884,21.842109,-0.796560,-1.834528,2.000000
78.693228,73.317379,1.869826,0.709753,2.000000
39.675492,63.882108,-1.849241,0.761780,2.000000
77.551751,30.193207,-1.275419,1.540554,2.000000
78.541195,73.403405,0.101411,1.997427,2.000000
39.838177,63.912857,-0.006039,1.999991,2.000000
39.886233,63.722801,1.153508,-1.633835,2.000000
39.962262,63.681899,1.365406,-1.461392,2.000000
40.020820,63.877043,1.899881,0.624862,2.000000
78.656984,73.372450,1.979554,-0.285246,2.000000
77.658641,30.217656,1.718068,-1.023836,2.000000
78.658547,73.352181,1.799560,-0.872688,2.000000
39.800455,63.862934,-0.714269,1.868106,2.000000
39.745446,63.849956,-1.980016,0.282025,2.000000
39.916060,63.787844,1.973281,-0.325822,2.000000
27.880177,21.892011,-0.345297,-1.969967,2.000000
77.721436,30.083139,1.603340,-1.195533,2.000000
78.396192,73.345191,-1.911059,0.589790,2.000000
27.886123,21.982765,-0.793283,1.835947,2.000000
77.395927,30.305497,-1.694700,1.062070,2.000000
78.356180,73.284679,-1.901363,0.620339,2.000000
39.770149,63.885628,-0.911827,1.780048,2.000000
27.954433,21.947694,0.109502,1.997000,2.000000
78.405937,73.357343,-1.997137,-0.106982,2.000000
27.822765,21.937313,-1.697356,1.057820,2.000000
77.720485,30.237226,1.371166,1.455989,2.000000
78.459838,73.369023,-1.083294,1.681212,2.000000
77.538769,30.299479,-0.830309,1.819502,2.000000
77.499373,30.215471,-1.653126,1.125688,2.000000
78.547603,73.345148,0.319422,-1.974328,2.000000
77.503616,30.138176,-1.873565,0.699825,2.000000
78.628072,73.467246,1.288125,1.529946,2.000000
27.915876,21.911725,0.183978,-1.991520,2.000000
78.542083,73.411471,1.569009,-1.240247,2.000000
77.783389,30.145922,1.983021,-0.260052,2.000000
78.633499,73.348175,1.598207,1.202387,2.000000
28.081761,22.022108,1.814865,0.840395,2.000000
77.803979,30.096762,1.940916,-0.482539,2.000000
78.687709,73.309285,1.961718,-0.389440,2.000000
39.854374,63.658219,-0.253935,-1.983814,2.000000
78.353617,73.384583,-1.845184,0.771553,2.000000
78.616084,73.513308,0.971586,1.748148,2.000000
78.666380,73.455787,1.353358,1.472556,2.000000
78.665185,73.349572,1.631088,1.157390,2.000000
28.039132,22.020145,0.890550,1.790788,2.000000
39.875016,63.865898,0.907024,1.782500,2.000000
